188.2438536544712
ABHAUDOPURA,469
ARDAYA,1001
GOPAU,1240
HANSELA,954
KACHAURA,738
KATHAWARI,643
KHERA BAKANDA,942
KITHAM,478
MAHUAR,797
MAI,564
MANGAROL GUJAR,638
MANGAROLI JAT,915
MANGURA,628
MUBARIKPUR,443
PURAMANA,573
RAIBHA,687
RUNKATA,587
SAHRI,468
SANDHAN,800
SINGMA,614
AKOLA,505
DHARERA,779
KHERI ARU,626
MUKHWAR,556
NAYABANS,553
SAWAI,827
SUREHRA (MUST.),678
TEHU,801
BAMRAULI,508
BARNA,553
BHARAPUR,783
BILPURA,524
DHIMSIRI,1168
KHANDAR,1386
BAMAN,632
BASAI BOBLA,1133
BASAIA RAIMOL,802
BASARAI CHAHAR,726
JAIN GARA,540
JARUA KATRA,938
KHERA BHAGOR,471
LALAU,581
MALPURA,1309
SALEMABAD,758
BASONI,463
BATESHWAR,745
BHADROLI,485
BICHOULA,570
CHANGOLI,504
GOPAL PURA,657
HINGOT KHERA,531
JARAR,2507
MEWALI KALAN,979
MEWALI KHURD,822
NAGAR,552
NAGAR CHAND,451
NAGLA HAJI,441
NIBOHRA,1275
NICHAKHERA,684
PENTI KHERA,928
RASULPUR,496
WAZIDPUR,1086
AULENDA,521
BHARHKOL,457
DAUDPUR,455
DAULTABAD,683
DOORA,586
NARHOLI,767
PARBATIPURA,746
PHARAIRA,724
RAJPURA,812
SIDHAOLI,556
SIMRAHI,447
BAD,486
BARAULI GUJAR,2211
BHAHAI,568
DEORI,729
DIGNER,1790
ETMADPUR MADRA,905
GANGRAUA,469
ITAURA,828
KABOOLPUR,687
KAKRARI,521
KAKUA,788
LAKAVALI,893
LODHAI,510
NADAUTA,650
NAINANA-BRAHMAN,751
PACHGAIN KHERA,565
ROHTA,2409
SAIMARI,836
SALEMABAD,439
SAMOGAR MUSTKIL,699
SHYAMO,1016
TANORA NURPUR MUSTKIL,948
ARTAUNI,671
BARARA,1866
DEHTORA,1869
DEORETHA,802
JAUPURA,443
KHALLAUWA,465
KHASPUR MUSTKIL,595
MIDHAKUR,1683
PATHOLI,608
SAHARA,589
AGWAR,837
AHARAN,1594
BARHAN,1825
JAJAULI,531
JAJAV,566
KORAI,717
MANDI MIRZA KHAN,629
NAGLA MANGOLI,478
SAMARA,724
SARSA,550
SIKRI HISSA IV,1635
UNDERA,590
BAMNAI KALAN,651
BARGAWAN BUZURG,547
BARIGWAMA KHURD,499
BAZIDPUR,524
GUGAWAND,922
NAGLA VIRBHAN,736
NAUNI,1476
CHAOLI,932
BAIPUR EHTMAL,724
BAGHA SONIGA,532
DHANAULI,2957
GHAMOTA,911
BAH,1721
RICHHOHA,493
SARENDHI,1394
SINGAICHA,530
TANTPUR,595
CHITRAHAR,464
JAITPURA KALAN,552
KHOHRI,562
NADGAWAN,501
PYARAMPURA,449
ANWAL KHERA,870
BAMAN,590
BHAGUPUR,834
CHAUGAN,521
CHAUKRA,720
DHAURRA,820
DHORAU,439
GIJAULI MUST,540
HASANPUR,455
KHANDA,1087
KHANDAULI,648
MALUPUR,455
MUNDI JAHANGIRPUR,554
NADAU,525
NAHARRA,1096
NEKPUR,547
PANT KHARA,460
POIYA,1857
RAHAN KALAN,813
RAIPUR,631
RAMNAGAR KHANDAULI,723
SEMRA,3992
SHERKHAN,462
USMANPUR,597
BERI CHAHAR,550
BHILAWALI,462
BALAI,642
BARENDA,736
BASAI ARELA,596
HUSAINPURA,490
KARKOLI,1249
KIYORI,718
KUKTHARI,480
PIDHORA,2254
RAJAURA,2189
REHA,1263
SEHA,1884
SUTAHARI,1046
UDAYPUR KHALSA,1546
UMRETHA,1175
UTSANA,965
VIPRAOLI,2012
BIRAHARU,449
IRADAT NAGAR,458
JAJAU,1002
KHEDIA,654
LADUKHERA,678
MURKIA,662
NADIM,627
SAIYAN,1036
SIKANDAR PUR,569
TEHRA,535
CHITAURA,439
DHANAULA KALAN,1126
DOKI,610
ETMADPUR AJNERA,533
GURHA,458
HIRNER NAWADAKHERA,1453
INAYATPUR,625
KARAUDHNA,1018
KUTAKPUR ROHAI,602
LOHETA,494
MAHARAMPUR,530
MUBARIKPUR,565
NAGLA PATAM,1300
PHULPUR,468
QUTUBPUR ROHAI,885
ROHAI KHAS,647
SIKTARA,585
SINGAICHA,614
SUDHRAI,517
THANA SHANKAR DWARI,947
THAP KHARGH,608
USARA,699
CHACHIHA,674
JAMALNAGAR BHAINS,542
SEOLA AHIR,1379
TALIB NAGAR,850
AHRAULA,519
MIRPUR DAHORA,503
SHIVALA,607
KASBA KOL,677
KWARASI,925
MADRAK,919
RORAVAR,1128
SARSAUL,452
BAINA,500
GHARVARA,859
KADIRPUR BARAH,454
KHANDEHA,594
KHERIABUZURG,443
KURANA,703
LALPUR RAIYATPUR,636
MALAV,746
MAUR,541
SALPUR,807
SYARAUL,592
TAPPAL,1116
UNTASANI BANGAR,673
VASERA,511
NAGLA MANSINGH,481
JUJHARKA,522
KASIMPUR GADAIPUR,594
KAZIMABAD,693
LOHGARH,671
NAHAL,649
BIJAULI,845
DADO,521
HAIVATPUR KOTRA,443
LAHRA SALEMPUR,640
SIHANI FARIDPUR,476
BARKA,609
CHANDAUS,965
GABHANA,665
KASERU,447
MADHAULA,523
NAGLA PADAM,657
PAIRAI,501
PISAVA,1170
