689.0383055430374
AKABARA,156
ARRUA KHAS,288
ARSENA,21
ATUS,71
BABROD,270
BARAULI,0
BASTAI,21
BHILAWATI,0
BIARA,87
BIDHAPUR,5
CHHAE POKHAR,416
DHANOLI,8
FATEHPURA,0
GADI CANDARMAN,314
GARHIMA,42
GOBRA,356
JANUTHA,103
JHAROTI,262
KHARBAI,331
KHERA SADHAN,268
KUKATHALA,345
LOH KARERA,270
MURANDA,315
NAGAR,231
NAGLA ARUA,0
PANWARI,397
RAIPURA AHIR,17
SAKATPUR,120
SEHTA,436
ABHAYPURA,127
AKHBAI,0
BAIN KHERA,21
CHIRHAULI,435
CHUHARPUR,16
GARHIBACHCHI,264
JAMPUR,0
KURGAWAN KHOKAR,32
LAKHNA MAI,196
MITAOLI,364
MURTHAR ALIPUR,352
NAGLA BARI,94
NAGLA BEAL,379
NAGLA MANI,4
NAGLA PACHAURI,389
NAGLA SARUP,202
NAGLA SIRJI,164
NAGLA TULSI,118
NWAL PUR,14
SAIFUDDINPUR,244
SARAI JAIRAM,3
SIKTARA,316
SUJANPUR,240
TAMACHGARH,259
YUSUFPUR,124
AIE,0
BASAI,268
BEGAMPUR,210
BHALOKHARA,0
BHIKANPUR,393
BICHOLA,130
BILONI,0
CHAMRAULI,156
GARHI UDAIRAJ,4
GARI DARYAB,311
GUBRAUTH,15
HIMAYUNPUR EDOIN,371
HUMAYONPUR GUJAR,416
JAGRAJ PURA,239
JARARI,0
JATPURA,69
KALAYAN PUR,276
KANHARPURA,0
BALHERA,322
BARODA SADAR,99
BASIA JOTIRAJ,0
CHAINKORA,379
DAVLI,0
GAHARA KALAN,367
GAHARA KHURD,289
GAMARI,0
IKRAM NAGAR,353
KARAHARA,280
KHERIA,209
MANIYAN,221
MANKENDA,0
NAGLA SIKARWAR,365
NAHCHANI,27
PINANI RAMNAGAR,317
SIROLI,135
UJARAI,309
ABHAYPURA,428
BADOUS,329
BAMROLI,397
BITHOLI,157
CHAMRAUA,0
CHOUSINGI,284
DERAK,7
DODAPURA,306
EMANPURA,383
GONSILI,61
GUNGAWALI,21
ITAILI,0
KALINJAR,193
KENJRA,149
KUNWAR KHEDA,0
KWAARI,260
LAKHANPUR KHALSA,88
MAHARAJPUR,2
MAHRA CHAUDHRI,0
MARAINA,339
MITHPURA,330
MOHAMMADPUR,0
MURAWAL,339
MUSEPURA,3
MUTAWAI,11
NAGARIYA,165
NAGLA MAWAI,242
PALIYA,191
PAROLI SIKARWAR,403
PRATAP PURA,356
RAMGARH,0
RAMPURA,15
RAN PURA,300
RIHAULI,384
RUPPUR,0
SALEMPUR GHANKAR,263
SALEMPUR MURIA,245
SANKURI KALAN,208
SARANGPUR,217
SHAHVED,215
SIKRARA,6
SWARA,314
TARAULI GUJAR,0
TIWAHA,11
ARHERA,144
BADANPUR BARNABAI,295
BANPUR,105
BASERI KAZI,86
BHO PUR,291
CHAUMA SHAHPUR,315
CHURIYARI,392
DABAR,62
DEONARI,147
DEORENTHA,47
DIDHWAR,308
MAI,339
MANGADPUR,200
PHARAIRI,402
RAIPURA BHADORIYA,282
RAMPUR CHANDRASAINI,222
RUDMULI,141
SANNPURA,183
SUNSAR,29
TARSON,215
VERI,42
VIJOLI,0
VIKARAMPUR,0
ZEBARA,359
AKBARPUR,281
BAGDA,7
BAHENTA,237
BAMRAULI KATARA,339
BARAULI AHIR,226
BHANDAI,258
BIJHAMAI,14
BILAHANI,21
BISARNA,232
BISHARA KALAN,398
BISHARI BHAND,0
BUDHANA MUSTKIL,328
BUDHERA,231
CHAMRAULI,167
GUTLA,354
HINGOT KHERIA,95
IKTHAR,188
KAHRAI,271
KALAL KHERIA,209
KALIKA NAGLA,265
KARMANA MUSTKIL,246
KAULAKHA,81
KUAN KHERA,0
KUNDOL,405
KUTHAWATI,166
MAHUA KHERA,361
MEHRA NAHARGANJ,422
NAUBARI,231
PAWAWALI,171
RAJRAI,0
TORA,105
ANGOOTHI,84
BAMRAULI AHIR,3
BICHPURI,0
CHAUHATNA,0
GARHSANI,197
KALWARI,359
LAKHANPUR,406
LARAMADA,0
MANGHATAI,120
MOHAMMADPUR,139
SADARBAN,18
SUCHETA,0
SUNARI,0
SWAMI MUSTKIL,282
TAPARA,123
AMANABAD,232
ARELA,203
BAHRAMPUR,407
BENAI,300
BHIKANPUR BAKARPUR,26
BIRUNI,3
DULHARA,216
GOTHARA,89
GURKI MANDI,384
JAHANPUR,189
JAUTANA,343
KARAHI,436
KHERA JAT,0
MAHDAV,219
MAI BUJURG,6
MALIKPUR,88
MANDOLI,304
NAGLA BAHARWATI,163
NAGLA SARAI,418
NINBAYA,152
PALI KIRAOLI,169
PATSAL,404
RASULPUR KIRAOLI,256
ROJAULI,204
SAHANPUR,340
SANTHA,338
SIKA RAUDA,433
SINGARPUR,236
SIRAULI,11
SONOTHI,264
TAJPUR,328
TEEKRI,408
TEHRA RAWAT,29
BAGHOUR,339
BASAI JAGNER,178
BHARA,373
BIDHOULI JAGNER,165
CHANDSORA,316
DAHGAWAN,25
DHANINA,206
GHASKATA,0
MEOLI,21
NAGLA KASIMPUR,317
AZIZPUR,0
NAINANA JAT,0
ISLAMPUR,0
JAKHODA,0
NANPUR,0
SUTENDI,0
JITORA,0
KHAL,0
NARAUL,0
SAGUNAPUR,275
BAJHERA,188
MAYAPURA,60
SARVATPUR,0
ANGANPUR,350
BASAIA RAJPUT,2
BHANDIRI,21
MUDIYAPURA,213
PADKOLI,64
PRATAPPURA,405
SIYAINCH,94
NAYAGAON,424
NIMENA,419
PIPRETHA,46
SINGRAWALI,27
SONI KHERA,259
UDENA,435
AMAHI,101
BADAGAON,325
BITHONA,104
CHOURANGAHAR,290
FATEHPURA,0
GADHBAR,5
GADHIA PRATAPPURA,0
GARHI BAROLI,1
KACHORA GHAT,217
KAMTARI,127
KARANPURA,1
KHERA RATHOR,292
KHILAWALI,3
KOOKAPUR,416
KORATH,376
KYARI,198
MADHEPURA,292
MAHUA,432
MALONI,284
MAU,378
MUKUTPURA,0
NAHTOLI,0
NAUGAWAN,171
